Worker,Colony,Worker,Species,Task,Femur,Tibia,Thorax,Scape,Head Width,Head Height,Log_Femur,Log_HW ,Log_Tibia,Log_Scape,Log_HH,Log_Thorax,Group
SYLC23W8,SYLC23,,Formica aserva,HC,,,,,1.396,,,,,,,,Mound-building
SYLC23W9,SYLC23,,Formica aserva,HC,,,,,1.317,,,,,,,,Mound-building
SYLC23W10,SYLC23,,Formica aserva,NB,,,,,1.413,,,,,,,,Mound-building
SYLC23W11,SYLC23,,Formica aserva,NB,,,,,1.713,,,,,,,,Mound-building
SYLC23W12,SYLC23,,Formica aserva,NB,,,,,1.496,,,,,,,,Mound-building
SYLC23W13,SYLC23,,Formica aserva,NB,,,,,1.805,,,,,,,,Mound-building
SYLC23W14,SYLC23,,Formica aserva,NB,,,,,1.343,,,,,,,,Mound-building
SYLC23W15,SYLC23,,Formica aserva,NB,,,,,1.727,,,,,,,,Mound-building
SYLC23W16,SYLC23,,Formica aserva,NB,,,,,1.604,,,,,,,,Mound-building
SYLC23W17,SYLC23,,Formica aserva,NB,,,,,1.742,,,,,,,,Mound-building
SYLC23W18,SYLC23,,Formica aserva,PF,,,,,1.694,,,,,,,,Mound-building
SYLC23W19,SYLC23,,Formica aserva,PF,,,,,1.78,,,,,,,,Mound-building
SYLC23W20,SYLC23,,Formica aserva,PF,,,,,1.399,,,,,,,,Mound-building
SYLC23W21,SYLC23,,Formica aserva,PF,,,,,1.602,,,,,,,,Mound-building
SYLC23W22,SYLC23,,Formica aserva,PF,,,,,1.822,,,,,,,,Mound-building
SYLC23W23,SYLC23,,Formica aserva,PF,,,,,1.545,,,,,,,,Mound-building
SYLC23W24,SYLC23,,Formica aserva,PF,,,,,1.747,,,,,,,,Mound-building
SYLC23W25,SYLC23,,Formica aserva,PF,,,,,1.598,,,,,,,,Mound-building
SYLC11W2,SYLC11,,Formica aserva,HC,,,,,1.725,,,,,,,,Mound-building
SYLC11W3,SYLC11,,Formica aserva,HC,,,,,1.097,,,,,,,,Mound-building
SYLC11W4,SYLC11,,Formica aserva,HC,,,,,1.353,,,,,,,,Mound-building
SYLC11W5,SYLC11,,Formica aserva,HC,,,,,1.46,,,,,,,,Mound-building
SYLC11W6,SYLC11,,Formica aserva,HC,,,,,1.406,,,,,,,,Mound-building
SYLC11W7,SYLC11,,Formica aserva,HC,,,,,1.438,,,,,,,,Mound-building
SYLC11W8,SYLC11,,Formica aserva,HC,,,,,1.221,,,,,,,,Mound-building
SYLC11W9,SYLC11,,Formica aserva,HC,,,,,1.395,,,,,,,,Mound-building
SYLC11W10,SYLC11,,Formica aserva,NB,,,,,1.828,,,,,,,,Mound-building
SYLC11W11,SYLC11,,Formica aserva,NB,,,,,1.841,,,,,,,,Mound-building
