worker_ID,head width (mm),task,painted,,,,,
SYLC2W24,1.427,PF,N,,,,,
SYLC2W25,1.464,PF,N,,,,,
,,,,,,,,
SYLC12W2,1.256,HC,Y,podzolica,,,,
SYLC12W3,1.482,HC,Y,,,,,
SYLC12W4,1.403,HC,Y,,,,,
SYLC12W5,1.364,HC,Y,,,,,
SYLC12W6,1.421,HC,Y,,,,,
SYLC12W7,1.353,HC,Y,,,,,
SYLC12W8,1.45,HC,Y,,,,,
SYLC12W9,1.264,HC,Y,,,,,
SYLC12W10,1.538,NB,Y,,,,,
SYLC12W11,1.58,NB,Y,,,,,
SYLC12W12,1.504,NB,Y,,,,,
SYLC12W13,1.357,NB,Y,,,,,
SYLC12W14,1.38,NB,Y,,,,,
SYLC12W15,1.478,NB,Y,,,,,
SYLC12W16,1.542,NB,Y,,,,,
SYLC12W17,1.396,NB,N,,,,,
SYLC12W18,1.501,PF,Y,,,,,
SYLC12W19,1.585,PF,Y,,,,,
SYLC12W20,1.468,PF,N,,,,,
SYLC12W21,1.482,PF,N,,,,,
SYLC12W22,1.407,PF,N,,,,,
SYLC12W23,1.315,PF,N,,,,,
SYLC12W24,1.444,PF,N,,,,,
SYLC12W25,1.266,PF,N,,,,,
,,,,,,,,
SYLC17W2,1.464,HC,Y,podzolica,,,,
SYLC17W3,1.383,HC,Y,,,,,
SYLC17W4,1.336,HC,Y,,,,,
SYLC17W5,1.402,HC,Y,,,,,
SYLC17W6,1.308,HC,Y,,,,,
SYLC17W7,1.472,HC,Y,,,,,
SYLC17W8,1.531,HC,Y,,,,,
SYLC17W9,1.519,HC,Y,,,,,
SYLC17W10,1.363,NB,Y,,,,,
SYLC17W11,1.491,NB,Y,,,,,
SYLC17W12,1.527,NB,N,,,,,
SYLC17W13,1.415,NB,N,,,,,
SYLC17W14,1.42,NB,N,,,,,
SYLC17W15,1.322,NB,N,,,,,
SYLC17W16,1.521,NB,N,,,,,
SYLC17W17,1.515,NB,N,,,,,
